dbpedia_135;Kaggle_462187;1;f
dbpedia_2754;Kaggle_5399;1;f
dbpedia_3567;Kaggle_5318502;1;f
dbpedia_2171;Kaggle_4226889;1;f
dbpedia_1785;Kaggle_4961713;1;f
dbpedia_4241;Kaggle_33445;1;f
dbpedia_3971;Kaggle_3276553;1;f
dbpedia_3487;Kaggle_131019;1;f
dbpedia_1397;Kaggle_323900;1;f
dbpedia_378;Kaggle_417158;1;f
dbpedia_2766;Kaggle_418230;1;f
dbpedia_2940;Kaggle_1341038;1;f
dbpedia_150;Kaggle_55595;1;f
dbpedia_1550;Kaggle_101;1;f
dbpedia_3585;Kaggle_6646805;1;f
dbpedia_1964;Kaggle_44909;1;f
dbpedia_1832;Kaggle_6834732;0;f
dbpedia_2187;Kaggle_5712438;1;f
dbpedia_908;Kaggle_595943;0;f
dbpedia_2224;Kaggle_70547;1;f
dbpedia_3344;Kaggle_632149;1;f
dbpedia_4052;Kaggle_3077214;1;f
dbpedia_1857;Kaggle_15580;1;f
dbpedia_479;Kaggle_1516668;1;f
dbpedia_3557;Kaggle_2605553;1;f
dbpedia_3972;Kaggle_1695252;1;f
dbpedia_3516;Kaggle_3245163;1;f
dbpedia_2981;Kaggle_23979;1;f
dbpedia_3709;Kaggle_207284;1;f
dbpedia_2462;Kaggle_115717;1;f
dbpedia_2515;Kaggle_4819547;1;f
dbpedia_55;Kaggle_1334174;1;f
dbpedia_3077;Kaggle_5111845;0;f
dbpedia_4644;Kaggle_5256875;1;f
dbpedia_3771;Kaggle_4447358;0;f
dbpedia_1582;Kaggle_24129;1;f
dbpedia_1831;Kaggle_1282689;0;f
dbpedia_3062;Kaggle_237202;1;f
dbpedia_1293;Kaggle_76454;1;f
dbpedia_4336;Kaggle_3533294;1;f
dbpedia_4555;Kaggle_2575988;1;f
dbpedia_910;Kaggle_1346340;0;f
dbpedia_3990;Kaggle_134;0;f
dbpedia_2667;Kaggle_2802575;1;f
dbpedia_1559;Kaggle_430751;0;f
dbpedia_4006;Kaggle_3540716;1;f
dbpedia_4207;Kaggle_105075;0;f
dbpedia_1953;Kaggle_90057;1;f
dbpedia_2842;Kaggle_142680;0;f
