"dbpedia_3352","Kaggle_222244","1.0","Phoenix Group","phoenix group","https://www.thephoenixgroup.com","phoenixgrp.net","1857.0","2002.0"
"dbpedia_879","Kaggle_646","0.9097469742077081","Charles Schwab Corporation","charles schwab","https://www.aboutschwab.com","schwab.com","1971.0","1973.0"
"dbpedia_4808","Kaggle_187591","0.9577932098765433","ZUNO Bank AG","zuno bank","http://www.zuno.eu","zuno.eu","2009.0","2010.0"
"dbpedia_2518","Kaggle_20204","0.9556479584955916","Laura Ashley plc","laura ashley","https://www.lauraashley.com","lauraashley.com","1954.0","0.0"
"dbpedia_2018","Kaggle_24392","1.0","Horiba","horiba","http://www.horiba.com/","horiba.com","0.0","0.0"
"dbpedia_4581","Kaggle_66592","1.0","Van Lanschot Kempen","van lanschot kempen","https://www.evivanlanschot.nl","vanlanschotkempen.com","1737.0","0.0"
"dbpedia_4441","Kaggle_1048607","0.9636314814814816","Travis Perkins","travis perkins plc","http://www.travisperkinsplc.co.uk","travisperkinsplc.com","1988.0","0.0"
"dbpedia_1025","Kaggle_185","1.0","Comcast","comcast","https://corporate.comcast.com/","comcast.com","1963.0","1963.0"
"dbpedia_3236","Kaggle_776308","1.0","PFSweb","pfsweb","http://www.pfsweb.com/","","1994.0","0.0"
"dbpedia_2859","Kaggle_13804","0.9","Mitsui O.S.K. Lines","mitsui osk lines","http://www.mol.co.jp","mol.co.jp","1884.0","1884.0"
"dbpedia_2656","Kaggle_210908","0.9104264753355619","Machine Sazi Arak","machine sazi arak (m.s.a)","http://www.msa.ir/index.aspx%3Fsiteid=3/","msa.ir","1967.0","0.0"
"dbpedia_3240","Kaggle_40383","1.0","PJT Partners","pjt partners","http://pjtpartners.com/","pjtpartners.com","2015.0","2015.0"
"dbpedia_1811","Kaggle_78172","1.0","Grainger plc","grainger plc","http://www.graingerplc.co.uk","graingerplc.co.uk","1912.0","1912.0"
"dbpedia_3042","Kaggle_101036","1.0","Nihon Kohden","nihon kohden","http://www.nihonkohden.com/index.html","","1951.0","0.0"
"dbpedia_1622","Kaggle_4365","1.0","Fortis Healthcare","fortis healthcare","http://www.fortishealthcare.com","fortishealthcare.com","0.0","0.0"
"dbpedia_696","Kaggle_5584272","1.0","Brixmor Property Group","brixmor property group","https://www.brixmor.com/","","2003.0","0.0"
"dbpedia_1671","Kaggle_124451","0.91273125","Furukawa Electric","furukawa electric co., ltd.","http://www.furukawa.co.jp/english/index.htm","furukawa.co.jp","1884.0","1884.0"
"dbpedia_419","Kaggle_164277","1.0","Aware, Inc.","aware, inc.","https://www.aware.com/","aware.com","1986.0","1986.0"
"dbpedia_2557","Kaggle_189398","1.0","Lifeboat Distribution","lifeboat distribution","http://www.lifeboatdistribution.com/","lifeboatdistribution.com","0.0","0.0"
"dbpedia_1257","Kaggle_49284","1.0","Dialight","dialight","http://www.dialight.com","dialight.com","1938.0","1938.0"
"dbpedia_1163","Kaggle_149231","1.0","Dainippon Screen","dainippon screen","http://www.screen.co.jp/eng/","screen-spe.eu","1943.0","0.0"
"dbpedia_4611","Kaggle_43757","1.0","Victrex","victrex","http://www.victrex.com","victrex.com","1993.0","1978.0"
"dbpedia_1835","Kaggle_163402","1.0","Grupo América","grupo américa","https://www.grupoamerica.com.ar/%7Cgrupoamerica.com","grupoamerica.com","1983.0","1983.0"
"dbpedia_798","Kaggle_10035","1.0","Canfor","canfor","http://www.canfor.com/","canfor.com","0.0","1938.0"
"dbpedia_3030","Kaggle_30425","1.0","Nib Health Funds","nib health funds","http://www.nib.com.au/","nib.com.au","1952.0","1952.0"
"dbpedia_1965","Kaggle_1598521","0.9391995919442085","Hindustan Unilever","hindustan unilever limited","https://www.hul.co.in/","hul.co.in","1933.0","0.0"
"dbpedia_1658","Kaggle_11993","1.0","Fulton Financial Corporation","fulton financial corporation","http://www.fultonbank.com/","fult.com","1882.0","1882.0"
"dbpedia_712","Kaggle_13282","1.0","Bupa Arabia","bupa arabia","http://www.bupa.com.sa","bupa.com.sa","1997.0","1997.0"
"dbpedia_3332","Kaggle_128","1.0","Petrobras","petrobras","https://petrobras.com.br/en/%7Cwww.petrobras.com.br","petrobras.com.br","1953.0","1953.0"
"dbpedia_917","Kaggle_365376","0.9418004918981481","China Medical Technologies","medical technologies","https://web.archive.org/web/20070522110731/http://www.chinameditech.com/%7Cwww.chinameditech.com","medtechnologies.com","2004.0","1974.0"
"dbpedia_3297","Kaggle_76162","1.0","Paz Oil Company","paz oil company","http://www.paz.co.il","paz.co.il","1922.0","1922.0"
"dbpedia_4333","Kaggle_2811","0.9375727900752314","Timken Company","the timken company","http://www.timken.com/","timken.com","1899.0","1899.0"
"dbpedia_4554","Kaggle_354123","0.9616203125","Universal Mobile Systems","universal mobile systems (ums)","http://ums.uz/","ums.uz","2014.0","2014.0"
"dbpedia_1259","Kaggle_4478272","0.965625","Diamond Trust Bank Group","diamond trust bank","http://www.dtbafrica.com/","","1945.0","0.0"
"dbpedia_2907","Kaggle_804","1.0","Motorola Solutions","motorola solutions","https://www.motorolasolutions.com/","motorolasolutions.com","2011.0","1928.0"
"dbpedia_4753","Kaggle_1361","0.8872685185185184","Workday, Inc.","workday","https://www.workday.com","workday.com","0.0","2005.0"
"dbpedia_2492","Kaggle_28780","1.0","LG Uplus","lg uplus","https://www.uplus.co.kr","lguplus.co.kr","1996.0","1996.0"
"dbpedia_1302","Kaggle_99860","1.0","Dontnod Entertainment","dontnod entertainment","http://dont-nod.com/en/%7Cdont-nod.com","dont-nod.com","2008.0","2008.0"
"dbpedia_1775","Kaggle_13192","1.0","Globus Medical","globus medical","http://www.globusmedical.com","globusmedical.com","2003.0","2003.0"
"dbpedia_2063","Kaggle_491182","1.0","I-Mobile","i-mobile","http://www.i-mobilephone.com/","i-mobile.co.jp","1995.0","2007.0"
"dbpedia_2806","Kaggle_377","1.0","Michelin","michelin","http://www.michelin.com","michelin.com","1889.0","1889.0"
"dbpedia_4396","Kaggle_34737","0.9450183187461836","Toray Industries","toray industries, inc.","http://www.toray.com/index.html","toray.com","0.0","1926.0"
"dbpedia_259","Kaggle_92823","1.0","Andorra Telecom","andorra telecom","http://www.andorratelecom.ad","andorratelecom.ad","1975.0","1975.0"
"dbpedia_1550","Kaggle_101","0.950634032203004","Fiat Chrysler Automobiles","fca fiat chrysler automobiles","https://www.fcagroup.com/en-US/Pages/home.aspx%7Cfcagroup.com","fcagroup.com","2014.0","1925.0"
"dbpedia_454","Kaggle_402032","0.9159663447627314","BYD Company","byd company limited","http://www.byd.com","","0.0","0.0"
"dbpedia_1693","Kaggle_198769","1.0","GP Investments","gp investments","http://www.gp.com.br","gp-investments.com","1993.0","1993.0"
"dbpedia_384","Kaggle_93030","0.9391995919442085","Australian Vintage","australian vintage limited","https://www.australianvintage.com.au/","australianvintage.com.au","1991.0","0.0"
"dbpedia_1409","Kaggle_191","1.0","Eli Lilly and Company","eli lilly and company","https://www.lilly.com","lilly.com","1876.0","1876.0"
"dbpedia_3871","Kaggle_22","1.0","Siemens","siemens","http://www.siemens.com/","siemens.com","1847.0","1847.0"
"dbpedia_2555","Kaggle_72765","1.0","Life Storage","life storage","https://www.lifestorage.com/","lifestorage.com","1982.0","2011.0"
"dbpedia_4312","Kaggle_298288","1.0","Thermwood Corporation","thermwood corporation","http://www.thermwood.com/","thermwood.com","1969.0","1969.0"
"dbpedia_3877","Kaggle_113307","1.0","Silicon Motion","silicon motion","http://www.siliconmotion.com","siliconmotion.com","1995.0","1995.0"
"dbpedia_1248","Kaggle_551836","1.0","Deutsche Börse","deutsche börse","http://deutsche-boerse.com/dbg/dispatch/en/kir/dbg_nav/home","deutsche-boerse.de","1992.0","0.0"
"dbpedia_585","Kaggle_200302","0.9114981481481482","Behran Oil Company","behran oil","http://behranoil.com/","behranoil.com","1963.0","1963.0"
"dbpedia_1356","Kaggle_46436","1.0","East African Portland Cement Company","east african portland cement company","http://www.eastafricanportland.com/","o-liminator.com","1933.0","0.0"
"dbpedia_3505","Kaggle_5341","1.0","Rakuten","rakuten","http://global.rakuten.com","rakuten.com","1997.0","1997.0"
"dbpedia_1809","Kaggle_188240","1.0","Graham Holdings","graham holdings","https://www.ghco.com","ghco.com","1947.0","1947.0"
"dbpedia_2059","Kaggle_45572","1.0","Hyundai Steel","hyundai steel","http://www.hyundai-steel.com","hyundai-steel.com","1953.0","0.0"
"dbpedia_4736","Kaggle_5565","0.9206235912847482","Wincanton plc","wincanton","http://www.wincanton.co.uk/","wincanton.co.uk","1925.0","1915.0"
"dbpedia_700","Kaggle_523601","0.99609375","Bromma Air Maintenance","bromma air maintenance ab","http://www.bam.aero","bam.aero","1979.0","1979.0"
"dbpedia_427","Kaggle_165392","0.9364589420374544","AzarAb Industries","azarab industries company","http://www.azarab.ir/en/home","azarab.ir","0.0","0.0"
"dbpedia_198","Kaggle_92478","1.0","Alpha Group Co., Ltd.","alpha group co., ltd","http://www.auldeytoys.com/en/","gdalpha.com","0.0","1993.0"
"dbpedia_3481","Kaggle_94275","1.0","Qurate Retail Group","qurate retail group","http://qurateretailgroup.com/","qurateretailgroup.com","1998.0","2018.0"
"dbpedia_20","Kaggle_3491038","1.0","ABB","abb","http://www.abb.com","","1988.0","0.0"
"dbpedia_3708","Kaggle_493778","0.9732925415039062","Sagicor Financial Corporation","sagicor financial corporation limited","http://www.sagicor.com/","sagicor.com","0.0","1840.0"
"dbpedia_820","Kaggle_10773","0.9553206997084549","Carnival Corporation & plc","carnival corporation","http://www.carnivalcorp.com","carnivalcorp.com","2003.0","0.0"
"dbpedia_3358","Kaggle_86287","0.8937851851851851","Phunware","phunware, inc.","https://www.phuntoken.com/","phunware.com","2009.0","2009.0"
"dbpedia_398","Kaggle_25959","0.9254875","Automotive Holdings Group","automotive holdings group (ahg)","https://web.archive.org/web/20190304084602/http:/www.ahg.com.au/","ahgir.com.au","1952.0","1952.0"
"dbpedia_1799","Kaggle_16722","0.8881104432757325","Goodman Group","goodman","http://www.goodman.com/","goodman.com","1989.0","0.0"
"dbpedia_859","Kaggle_201234","1.0","Central Japan Railway Company","central japan railway company","http://english.jr-central.co.jp/index.html","jr-central.com","1987.0","1987.0"
"dbpedia_1254","Kaggle_249921","0.9821500000000001","Dhaka Power Distribution Company","dhaka power distribution company limited","https://www.dpdc.org.bd/","","2007.0","0.0"
"dbpedia_3003","Kaggle_240879","1.0","Net mobile AG","net mobile ag","http://www.net-mobile.com/","net-mobile.com","2000.0","2000.0"
